Group,Classifier,cv_mean_accuracy,cv_std_accuracy
Mastectomy,SVM,0.7825430158515106,0.03599874563614256
Mastectomy,KNN,0.7372713724427584,0.033520013060416444
Mastectomy,AdaBoost,0.8484216230863026,0.02427895752150149
Mastectomy,Gradient Boosting,0.8484283972361467,0.023642331287224292
Mastectomy,Random Forest,0.850067741498442,0.034726713716002146
Mastectomy,GaussianNB,0.7883145915187644,0.032687578233846944
Mastectomy,Logistic Regression,0.8303210947026148,0.038004970555818945
Mastectomy,XGBoost,0.8533870749220973,0.02322000412262301
Mastectomy,Decision Tree,0.7915865058935104,0.027888891074010623
BCS,SVM,0.7366350067842605,0.03479989868392127
BCS,KNN,0.6377883310719132,0.04920946424188075
BCS,AdaBoost,0.8039122568973316,0.05050824620693081
BCS,Gradient Boosting,0.8173903211216645,0.05023848107445107
BCS,Random Forest,0.8174807779285389,0.04066061768115765
BCS,GaussianNB,0.7544776119402985,0.04835951202499248
BCS,Logistic Regression,0.7815468113975577,0.042885971856931104
BCS,XGBoost,0.7965174129353233,0.05518576964721214
BCS,Decision Tree,0.7515829941203076,0.054842050229959464
