,gb_importance,mutual_info,lasso_abs_coef,rfe_rank
relapse_free_status,0.3597209214450105,0.15328815127023887,2.2100100940884606,1
age_at_diagnosis,0.2357557793265408,0.06626720658507623,0.8854058710566788,1
overall_survival_months,0.13116602452124912,0.11235109024392465,1.6612187113285133,1
cohort,0.06353415280017333,0.01784789412412091,0.6581445460555283,1
relapse_free_status_months,0.05773570842885443,0.08947425151179789,0.0,1
nottingham_prognostic_index,0.03635718258123813,0.045509890291497435,0.0,13
tumor_stage,0.018273554488329114,0.011943064550022697,0.0,1
integrative_cluster,0.016519865770690857,0.0,0.01495514270331938,12
mutation_count,0.014074870186773237,0.0,0.0,1
tumor_size,0.012860334997970652,0.024373605978661894,0.0,1
tumor_other_histologic_subtype,0.009457922574447532,0.0,0.0,4
pam50_claudin_low_subtype,0.00890629924444133,0.02250571545703295,0.1043978398271924,6
oncotree_code,0.008284098818366236,0.0074293684634703094,0.06130004086032444,1
lymph_nodes_examined_positive,0.0052206359144803234,0.025314330203501934,0.0,1
neoplasm_histologic_grade,0.004907313766968608,0.0,0.0,1
cellularity,0.004391576864063627,0.0,0.0,9
pr_status,0.003497298908986582,0.0,0.0,8
er_status,0.0029606385319815177,0.0,0.0,11
three_gene_classifier_subtype,0.002525299688040995,0.018600455607084676,0.13533406388269417,3
cancer_type_detailed,0.0012179060872771815,0.0,0.004527314792734462,5
er_status_measured_by_ihc,0.0010670158036840184,0.0,0.0,1
hormone_therapy,0.0007317301679842395,0.005942269239342934,0.04120138318411362,1
inferred_menopausal_state,0.000429598305393382,0.0,0.41314423796940214,2
chemotherapy,0.00025192631917902834,0.018794842624169528,0.06438148209548399,1
primary_tumor_laterality,0.0001523257873749362,0.0,0.0,1
her2_status_measured_by_snp6,1.8670500416459407e-08,0.008507564910364529,0.0,10
her2_status,0.0,0.0,0.0,14
cancer_type,0.0,0.0,0.0,15
sex,0.0,0.013685568603539089,0.0,16
radio_therapy,0.0,0.0012944680479374249,0.0,7
