Group,Classifier,Paper Test Accuracy,Our Test Accuracy,Paper Test ROC-AUC,Our Test ROC-AUC,Accuracy Rank (Paper),Accuracy Rank (Ours)
Mastectomy,SVM,0.835,0.722,0.842,0.829,5.0,8.0
Mastectomy,KNN,0.791,0.603,0.769,0.636,7.5,9.0
Mastectomy,AdaBoost,0.86,0.799,0.828,0.898,3.0,6.0
Mastectomy,Gradient Boosting,0.864,0.846,0.84,0.917,2.0,1.0
Mastectomy,Random Forest,0.748,0.833,0.758,0.911,9.0,2.0
Mastectomy,GaussianNB,0.791,0.744,0.625,0.815,7.5,7.0
Mastectomy,Logistic Regression,0.846,0.812,0.846,0.893,4.0,4.5
Mastectomy,XGBoost,0.867,0.812,0.842,0.912,1.0,4.5
Mastectomy,Decision Tree,0.806,0.821,0.772,0.808,6.0,3.0
BCS,SVM,0.815,0.783,0.816,0.881,2.5,6.0
BCS,KNN,0.752,0.688,0.753,0.724,7.5,9.0
BCS,AdaBoost,0.771,0.86,0.771,0.946,5.0,4.0
BCS,Gradient Boosting,0.828,0.873,0.828,0.944,1.0,1.5
BCS,Random Forest,0.752,0.866,0.744,0.933,7.5,3.0
BCS,GaussianNB,0.503,0.777,0.541,0.847,9.0,7.0
BCS,Logistic Regression,0.803,0.847,0.802,0.903,4.0,5.0
BCS,XGBoost,0.815,0.873,0.817,0.926,2.5,1.5
BCS,Decision Tree,0.764,0.739,0.774,0.738,6.0,8.0
