,count,mean,std,min,25%,50%,75%,max,missing
age_at_diagnosis,1981.0,61.086986370519945,12.949709932179637,21.93,51.42,61.81,70.6,96.29,0
lymph_nodes_examined_positive,1905.0,2.0010498687664042,4.079179424780137,0.0,0.0,0.0,2.0,45.0,76
mutation_count,1981.0,6.993668646756183,5.440772091985549,0.0,3.922553111,6.537588519,9.152623927,104.6014163,0
nottingham_prognostic_index,1980.0,4.0109603636363635,1.1624976987638282,1.0,3.044,4.041,5.04,6.36,1
overall_survival_months,1981.0,125.24427057041898,76.11177154002296,0.0,60.8666666666667,116.466666666667,185.133333333333,355.2,0
relapse_free_status_months,1981.0,111.54045095069829,77.3265912417102,0.0,42.3,102.066666666667,169.833333333333,351.0,0
tumor_size,1955.0,26.275580562659847,15.379858261084356,1.0,17.0,23.0,30.0,182.0,26
tumor_stage,1466.0,1.7360163710777625,0.642540996478056,0.0,1.0,2.0,2.0,4.0,515
neoplasm_histologic_grade,1893.0,2.4141574220813524,0.649158090753565,1.0,2.0,3.0,3.0,3.0,88
cohort,1981.0,2.619384149419485,1.23235334707691,1.0,1.0,3.0,3.0,5.0,0
