column,method_iqr,lower,upper,n_outliers_iqr,pct_outliers_iqr,method_zscore,threshold,n_outliers_zscore,pct_outliers_zscore
age_at_diagnosis,IQR,22.650000000000013,99.36999999999998,1,0.05,Z-score,3.0,1,0.05
lymph_nodes_examined_positive,IQR,-3.0,5.0,218,11.0,Z-score,3.0,50,2.52
mutation_count,IQR,-3.922553113,16.997730151,62,3.13,Z-score,3.0,22,1.11
nottingham_prognostic_index,IQR,0.050000000000000266,8.033999999999999,0,0.0,Z-score,3.0,0,0.0
overall_survival_months,IQR,-125.53333333333276,371.5333333333325,0,0.0,Z-score,3.0,1,0.05
relapse_free_status_months,IQR,-148.9999999999995,361.13333333333253,0,0.0,Z-score,3.0,1,0.05
tumor_size,IQR,-2.5,49.5,151,7.62,Z-score,3.0,30,1.51
tumor_stage,IQR,-0.5,3.5,10,0.5,Z-score,3.0,10,0.5
neoplasm_histologic_grade,IQR,0.5,4.5,0,0.0,Z-score,3.0,0,0.0
cohort,IQR,-2.0,6.0,0,0.0,Z-score,3.0,0,0.0
