Classifier,Training/Testing,Accuracy,Precision,Recall,F1-score,ROC-AUC
SVM,test,0.722,0.931,0.618,0.743,0.829
SVM,train,0.793,0.905,0.656,0.76,0.904
KNN,test,0.603,0.74,0.599,0.662,0.636
KNN,train,0.826,0.898,0.736,0.809,0.927
AdaBoost,test,0.799,0.872,0.809,0.84,0.898
AdaBoost,train,0.876,0.893,0.853,0.873,0.947
Gradient Boosting,test,0.846,0.892,0.868,0.88,0.917
Gradient Boosting,train,0.928,0.945,0.908,0.926,0.981
Random Forest,test,0.833,0.879,0.862,0.87,0.911
Random Forest,train,1.0,1.0,1.0,1.0,1.0
GaussianNB,test,0.744,0.843,0.743,0.79,0.815
GaussianNB,train,0.792,0.822,0.746,0.782,0.865
Logistic Regression,test,0.812,0.891,0.809,0.848,0.893
Logistic Regression,train,0.842,0.878,0.794,0.834,0.915
XGBoost,test,0.812,0.88,0.822,0.85,0.912
XGBoost,train,1.0,1.0,1.0,1.0,1.0
Decision Tree,test,0.821,0.872,0.849,0.86,0.808
Decision Tree,train,1.0,1.0,1.0,1.0,1.0
